Flowchart,Node,Node_content,Pattern,Answer,User_response,isOnTopic,isAnswered,isUncertain,actualAnswer
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,Yes,"""I'd have to double-check, but I believe my temperature is up there, in that range.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"""No, it's not.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"""Nope, my temperature is lower.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"""No, I don't have a fever.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"""No, it's normal.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and minimalistic,No,"""Definitely not, my temperature is fine.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""No, my temperature is definitely not that high. I feel pretty normal, maybe a little on the cooler side if anything.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""Nope, I don't think my temperature is up that high. I just checked it, and it's reading around 98.6Â°F, so it's within the normal range.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""No, I can assure you my temperature is not 100Â°F or above. I don't have any fever or chills going on right now.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""Absolutely not, my temperature is nowhere near 100Â°F. I feel fine and haven't noticed any signs of a fever at all.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,conclusive and descriptive,No,"""No way, my temperature is definitely not that high. I don't have any symptoms of a fever, and I haven't been feeling particularly warm or flushed.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,No,"""No, I don't think so. My temperature feels normal, but I'm not totally sure.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,No,"""I'm not running a fever as far as I can tell. It doesn't seem to be 100 or above.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,No,"""No, I don't believe my temperature is that high. It's probably lower than that.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,No,"""I don't feel feverish at all. I can't say for certain, but I don't think it's 100 degrees or more.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,vague or partially conclusive,No,"""I wouldn't say my temperature is 100 or higher. It seems to be within a normal range, but I haven't checked it recently.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,inconclusive,not answered,"""You know, I'm not entirely sure. I haven't checked my temperature recently, so I can't say for certain if it's 100Â°F or higher.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,inconclusive,not answered,"""Hmm, that's a good question. To be honest, I haven't taken my temperature, so I don't have a clear idea of what it is right now. I can't give you a definitive answer.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,inconclusive,not answered,"""I wish I could tell you, but I haven't been monitoring my temperature, so I don't have a reliable reading on that. I can't say for sure if it's 100Â°F or above.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,inconclusive,not answered,"""I'm afraid I don't have enough information to answer that. I haven't checked my temperature, so I can't confirm whether it's 100Â°F or higher. I don't want to guess.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,inconclusive,not answered,"""You know, I'm not really sure about my current temperature. I haven't taken it, so I can't say with confidence if it's 100Â°F or above. I don't have a clear sense of what my temperature is right now.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,irrelevant,off-topic,"""I'm sorry, I don't have a thermometer on hand at the moment. But I did just bake some delicious cookies if you'd like one!""",No,No,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,irrelevant,off-topic,"""Temperature? Hmm, I'm more concerned about the weather forecast. Do you think it'll rain later today? I was hoping to go for a nice walk.""",No,No,No,No
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,irrelevant,off-topic,"""100Â°F, you say? That reminds me, I've been meaning to adjust the thermostat in my home. It's been feeling a bit chilly lately.""",No,No,No,
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,irrelevant,off-topic,"""Temperature? Oh, I'm more of a humidity person myself. Do you happen to know the current moisture levels in the air?""",No,No,No,
Feeling Generally Ill Flowchart,N1,Is your temperature 100Â°F or higher?,irrelevant,off-topic,"""100Â°F? That's interesting, but have you tried our new herbal tea blend? I think you'd really enjoy the soothing citrus notes.""",No,No,No,
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yes, I do feel unusually tired and I'm experiencing some discomfort in my chest and arms when I move around.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Absolutely, I'm feeling unexpectedly fatigued, and I'm also having some discomfort in my chest and arms.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yes, that's correct. I'm definitely feeling more tired than usual, and I'm experiencing some discomfort in my chest and arms when I move.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yes, I'm experiencing both of those symptoms - the unusual tiredness and the discomfort in my chest and arms.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yes, I'm suddenly feeling very tired, and I'm also having some discomfort in my chest and arms when I move around.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yes, I do feel unusually tired right now, and I'm also experiencing some discomfort in my chest and arms when I move around. It's a bit concerning, and I'm not sure what's causing it.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Absolutely, I'm definitely feeling more fatigued than normal, and I've noticed some discomfort in my chest and arms when I try to move about. It's a bit worrying, and I'd like to get it checked out.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yes, that's exactly what I'm experiencing. I'm feeling unexpectedly tired, and I'm also having some discomfort in my chest and arms when I move around. It's a bit unusual for me, and I'm concerned about it.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""You know, now that you mention it, yes, I do feel unusually tired, and I've noticed some discomfort in my chest and arms when I move around. It's a bit concerning, and I'd like to get it looked at.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yes, that's correct. I'm feeling unusually fatigued, and I've also been experiencing some discomfort in my chest and arms when I try to move around. It's a bit of a concern, and I'd appreciate if you could help me figure out what might be causing it.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""You know, I have been feeling a little more tired than usual lately, and I've noticed some discomfort in my chest when I move around. I'm not sure if it's anything serious, but it's been concerning me.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""Hmm, now that you mention it, I have been feeling unusually fatigued, and I've been experiencing some discomfort in my chest and arms when I move around. I can't say for certain, but it's definitely something I've noticed.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""Yes, I have been feeling quite tired lately, and I've also been having some discomfort in my chest and arms when I move around. I'm not sure what's causing it, but it's been bothering me.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""I'd say that's a fair assessment. I have been feeling more tired than usual, and I have noticed some discomfort in my chest and arms when I move around. It's been a bit concerning, to be honest.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""You know, that's a good observation. I have been feeling unusually tired, and I have been experiencing some discomfort in my chest and arms when I move around. I'm not sure what's causing it, but it's definitely something I've been noticing.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, I don't feel unusually tired, and I don't have any discomfort in my chest or arms.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""Nope, none of that for me.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, I'm feeling fine. No unusual tiredness or chest/arm discomfort.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, nothing like that. I'm doing okay.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, I'm not experiencing any of those symptoms.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, I don't feel unusually tired at all. And I don't have any discomfort or pain in my chest or arms when I move around. I'm feeling pretty normal and energetic today.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""Nope, not at all. I feel wide awake and don't have any chest or arm discomfort when I'm up and about. Everything seems to be functioning just fine on my end.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, nothing like that. I'm not experiencing any fatigue or unusual tiredness, and my chest and arms feel perfectly fine when I'm moving around. I'm doing well overall.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""Definitely not. I'm not feeling unusually tired, and I don't have any discomfort or aches in my chest or arms when I'm up and moving. Everything seems to be normal and in working order.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, that's not the case for me. I'm feeling energetic and alert, and I don't have any pain or discomfort in my chest or arms when I'm active. I'm doing great, no concerns on my end.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""No, I don't feel unusually tired, and I don't have any discomfort in my chest or arms when I move around. I'm feeling pretty normal, to be honest.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""Not really, no. I mean, I don't think I'm feeling unusually tired, and I haven't noticed any discomfort in my chest or arms when I move around. I'm not sure if anything's out of the ordinary.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""No, I wouldn't say I'm feeling unusually tired, and I haven't noticed any discomfort in my chest or arms when I move around. Everything seems to be pretty much the same as usual for me.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""I don't believe so. I don't feel like I'm suddenly feeling unusually tired, and I haven't experienced any discomfort in my chest or arms when I move around. It's hard for me to say for sure, but I don't think there's anything out of the ordinary going on.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""No, I don't think so. I mean, I don't feel like I'm suddenly feeling unusually tired, and I haven't noticed any discomfort in my chest or arms when I move around. I can't say for certain, but as far as I can tell, everything seems to be fine.""",Yes,Yes,Yes,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""Hmm, you know, I've been feeling a little more tired than usual lately, but I'm not sure if it's anything out of the ordinary. And my chest and arms have felt a bit achy when I move around, but it's hard for me to say if that's anything serious. I'm not sure what to make of it, to be honest.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""Well, now that you mention it, I have been feeling more fatigued than normal, but it's hard for me to say if that's anything to be concerned about. And I have noticed some discomfort in my chest and arms when I'm up and moving around, but I can't really tell if that's just normal aches and pains or something more. I'm a bit unsure about it all, to be frank.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""Yeah, I have been feeling unusually tired, but I'm not sure if that's just because I've been busier than usual or if there's something more going on. And I have noticed some discomfort in my chest and arms when I move around, but it's hard for me to judge whether that's anything serious or just regular aches. I'm a little uncertain about the whole situation, to be honest.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""I have to say, I have been feeling more fatigued than I normally do, but I'm not sure if that's a cause for concern or just a temporary thing. And I have noticed some discomfort in my chest and arms when I'm up and active, but I can't really tell if that's anything serious or just normal aches and pains. I'm a bit unsure about it all, to tell you the truth.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""You know, now that you mention it, I have been feeling more tired than usual lately, but I'm not sure if that's something I need to worry about. And I have noticed some discomfort in my chest and arms when I move around, but it's hard for me to determine if that's a sign of something more serious or just normal aches. I'm a little uncertain about the whole situation, to be honest.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Hmm, that's interesting. You know, I've been meaning to try out a new recipe for homemade bread. Do you have any favorite bread recipes you'd recommend?""",No,No,No,
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Feeling tired, huh? I've been meaning to plan a weekend getaway. Do you have any suggestions for a nice, relaxing destination I could check out?""",No,No,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Chest and arm discomfort, you say? You know, I've been thinking about getting a new piece of artwork for my living room. What kind of style do you usually go for when it comes to home decor?""",No,No,No,
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Ah, I see. Well, have you given any thought to taking up a new hobby? I've been considering learning how to knit, but I'm not sure where to start. Do you have any experience with that?""",No,No,No,No
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""I see. You know, I've been wanting to reorganize my closet for ages. Do you have any tips for efficient clothing storage and organization? I feel like I'm always losing things in there.""",No,No,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, I do feel a bit nervous right now.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Absolutely, I'm experiencing some anxiety at the moment.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, that's correct. I'm feeling quite anxious.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, I'm definitely feeling nervous and on edge.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, I'm experiencing some nervousness and anxiety.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yes, I've been feeling quite anxious lately. My heart has been racing, and I've been having trouble sleeping due to the constant worrying.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Absolutely, I'm definitely feeling nervous right now. The situation has me feeling on edge and my palms are sweating a bit.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yes, I'm experiencing some anxiety at the moment. I can't seem to shake this uneasy feeling, and it's making it hard for me to concentrate on my daily tasks.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""You know, I've been really nervous and on edge the past few days. It's been hard for me to relax and I've been feeling tense throughout my body.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yes, I'm definitely feeling anxious today. I've had this knot in my stomach and my mind has been racing with worried thoughts. It's been a struggle to stay calm.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""You know, I've been feeling a little on edge lately. It's hard to put my finger on it, but I guess you could say I'm a bit anxious.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""Hmm, that's a good question. I'd say I'm probably leaning more towards feeling nervous than not. It's been a bit of a rollercoaster, to be honest.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""I don't know, maybe? It's hard for me to tell sometimes, but there's definitely been a sense of unease or tension that I can't quite shake off.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""I suppose you could say I'm feeling a bit anxious, yeah. It's not always easy to put into words, but there's definitely an underlying sense of nervousness that's been there.""",Yes,Yes,No,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""I'd have to say yes, I've been feeling a little on the anxious side lately. It's not always consistent, but there are definitely moments where I find myself getting worked up or on edge.""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, I don't feel nervous or anxious at all.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""Nope, not feeling anxious or nervous right now.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, I'm doing just fine. No nervousness or anxiety here.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, I'm calm and relaxed. No nerves or anxiety to report.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""Nah, I'm good. No nervousness or anxiety going on with me.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""No, not at all. I'm feeling pretty calm and collected right now. Just taking things one step at a time.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""Nope, no nervousness or anxiety here. I'm doing alright - just focused on getting through my day as usual.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""Absolutely not. I'm feeling really relaxed and at ease, actually. No need to worry about me being anxious or on edge.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""No way, I'm doing great. I haven't experienced any feelings of nervousness or anxiety lately. Just going with the flow today.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""Not in the slightest. I'm feeling very level-headed and grounded at the moment. No signs of nerves or anxiety on my end.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, not really. I mean, I'm feeling pretty calm at the moment.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""Hmm, I wouldn't say I'm nervous or anxious. I'm doing alright, I think.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, I don't believe so. I'm feeling pretty relaxed right now, to be honest.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, I wouldn't describe myself as nervous or anxious right now. I'm doing okay.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, I don't think I'm feeling particularly nervous or anxious. I seem to be managing just fine.""",Yes,Yes,No,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""You know, it's hard for me to say for sure. I've been feeling a bit on edge lately, but I'm not sure if I'd call it nervous or anxious exactly. It's kind of a difficult thing to put my finger on, to be honest.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""Hmm, that's a good question. I've been feeling a little 'off' lately, but I'm not entirely sure how to describe it. I guess you could say I'm feeling a bit on the anxious side, but I'm not completely certain about that. It's kind of a gray area, you know?""",Yes,Yes,Yes,Yes
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""Well, I've been having some, uh, unsettled feelings lately. I'm not sure if I'd say I'm nervous or anxious per se, but there's definitely something going on. It's hard for me to give you a clear yes or no answer on that one.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""To be truthful, I'm not entirely sure how I've been feeling in that regard. There have been times when I've felt a bit on edge, but I can't say for certain whether I'd call it nervousness or anxiety. It's kind of a murky situation, if I'm being honest.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""Hmm, that's a tough one. I've been experiencing some, uh, unusual sensations lately, but I'm not sure how to categorize them. I don't know if I'd say I'm nervous or anxious, per se, but there's definitely something going on that I can't quite put my finger on. It's a bit of a gray area, if you know what I mean.""",Yes,No,Yes,No
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""I'm sorry, did you say something? I was just admiring the lovely weather we're having today. Isn't it just perfect for a stroll in the park?""",No,No,No,
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""Hmm, that's an interesting question. You know, I've been meaning to try out that new restaurant that just opened downtown. Have you heard anything about it?""",No,No,No,
