Flowchart,Node,Node_content,Pattern,Answer,User_response
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"""Nope."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"""Not at all."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"""It’s not."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and minimalistic,No,"""No, it’s lower."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, it’s actually normal—I just checked, and it’s 98.6°F."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, I don’t have a fever at all. I feel fine temperature-wise, just a bit tired."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, but I did feel warm earlier. I took my temp an hour ago, and it was 99.1°F, so not quite a fever."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, I’ve been checking regularly, and it’s been steady around 97-98°F. No fever symptoms either."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,conclusive and descriptive,No,"""No, my temperature’s normal, but I’ve been having chills, so I wanted to make sure."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,No,"""Not that I know of—I haven’t checked recently, but I don’t feel feverish."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,No,"""I don’t think so? It felt normal last time I took it, but that was a while ago."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,No,"""Probably not, but I’ve been feeling a little warm. No thermometer handy, though."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,No,"""I doubt it—I’d guess it’s lower, but I can’t say for sure."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,vague or partially conclusive,No,"""No, at least not when I checked earlier. Could’ve changed since then."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,inconclusive,not answered,"""I’m not sure—I haven’t checked it yet, but I do feel pretty warm."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,inconclusive,not answered,"""It might be? I felt feverish earlier, but I don’t have a thermometer handy."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,inconclusive,not answered,"""I think it’s close, but I can’t say for certain without measuring."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,inconclusive,not answered,"""I had a low-grade fever last night, but I don’t know if it’s gone up since then."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,inconclusive,not answered,"""I feel hot, but I’m not sure if it’s actually 100 or just the weather making me sweat."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,irrelevant,off-topic,"""Oh, I had the most amazing pancakes for breakfast this morning!"""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,irrelevant,off-topic,"""My cat loves to nap in the sun—it’s her favorite spot."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,irrelevant,off-topic,"""I think I left my umbrella at home. Did it rain earlier?"""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,irrelevant,off-topic,"""You know, I’ve been meaning to try that new coffee shop downtown."""
Feeling Generally Ill Flowchart,N1,Is your temperature 100°F or higher?,irrelevant,off-topic,"""Traffic was terrible on the way here—so many construction zones!"""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yeah, I do—really tired, and my chest hurts when I move."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yes, I’ve been exhausted, and my arm aches when I walk."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Mhm, super tired, and my chest feels tight when I’m active."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Yep, sudden fatigue, plus some arm pain when I move."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,Yes,"""Definitely—unusually worn out, and my chest bothers me when I do things."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yeah, actually—I’ve been feeling really worn out out of nowhere, and when I walk or lift something, my chest gets this tight, achy feeling. It’s been happening all morning."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yes, both. I was fine earlier, but now I’m exhausted just standing here, and my left arm has this dull pain when I reach for things. It’s weird because I didn’t strain it or anything."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Definitely. I feel like I hit a wall energy-wise, and when I went upstairs earlier, my chest felt heavy—almost like pressure. My right arm tingled a little too."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Uh-huh. I’m way more tired than usual today, and yeah, there’s this soreness in my chest and arms when I move, especially if I bend down. It’s not sharp, but it’s there."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,Yes,"""Yes, it’s both. The tiredness came on really fast, and now even small things—like carrying groceries—make my chest ache and my arms feel weak. It’s not normal for me."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""Yeah, I’ve been feeling pretty worn out lately, and I think my chest feels a little off when I move—not sure if it’s anything serious, though."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""I guess so? I’ve been more tired than usual, and my arm kind of aches sometimes when I’m active."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""Sort of—I’ve been really exhausted out of nowhere, and my chest feels a bit tight when I walk around, but it comes and goes."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""Maybe? I’ve been unusually tired, and I’ve noticed some discomfort in my arm, but I can’t tell if it’s just soreness."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,Yes,"""A little, yeah. I’ve been dragging all day, and there’s this weird feeling in my chest when I move—not pain, just... something."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, not at all."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""Nope, I feel fine."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, nothing like that."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, no issues."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and minimalistic,No,"""No, I’m good."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, I feel completely normal—no tiredness or chest discomfort at all. I’ve been moving around like usual with no issues."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""Not at all. I’ve been active today, and my energy feels fine. No aches or tightness in my chest or arms either."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""Nope, nothing like that. I’d say my energy is about the same as always, and my arms and chest feel totally fine."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, I haven’t noticed any unusual fatigue, and there’s definitely no pain when I move. Everything feels normal."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",conclusive and descriptive,No,"""No, I’m good—no extra tiredness or weird feelings in my chest or arms. I’ve been walking around without any trouble."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""Not really, no. I mean, I might feel a little worn out, but nothing unusual, and my chest and arms are fine."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""I don’t think so? I haven’t noticed anything like that, at least not today."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""Nah, I’m okay. Maybe a bit tired, but nothing in my chest or arms when I move."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""Not that I can tell. I feel normal, just regular tired, if that makes sense?"""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",vague or partially conclusive,No,"""No, not really. I’d say I’m fine, but I guess I’ve been a little sluggish—nothing serious though."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""Hmm, I have been feeling a bit more tired than usual lately, but I’m not sure if it’s sudden. My chest feels a little off sometimes, but it’s hard to say if it’s when I move around or just random."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""I guess I have been dragging a bit today, but I don’t know if it’s unusual. My arms feel kind of heavy, but I can’t tell if it’s related to moving or just stress."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""Maybe? I’ve noticed some fatigue, but I’m not sure if it’s sudden. And my chest feels a little tight now and then, but I don’t know if it’s worse when I’m active."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""I think I’ve been more tired, but I can’t say for sure if it’s sudden. As for my chest or arms, I’ve had some weird sensations, but nothing super clear when I move."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",inconclusive,not answered,"""It’s hard to say—I’ve felt a bit worn out, but I don’t know if it’s unusual. My arms ache sometimes, but I’m not sure if it’s from moving or something else."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Oh, I actually just had the best sandwich for lunch—turkey and avocado. Really hit the spot!"""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""You know, my cat learned how to open doors last week. It’s been chaos at home ever since."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""I’ve been binge-watching this new baking show. The contestants are so talented!"""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""Traffic was awful on the way here. Took me twice as long as usual."""
Feeling Generally Ill Flowchart,N2,"Do you suddenly feel unusually tired, and do you have any discomfort in your chest or arms when you move around?",irrelevant,off-topic,"""I think I left my umbrella in the car. Hope it doesn’t rain later."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, a bit."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yeah, I do."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Absolutely."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yes, very much."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,Yes,"""Yep."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yeah, I’ve been feeling really on edge lately—like my heart’s racing over small things, and I can’t seem to calm down."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yes, honestly. I’ve had this constant knot in my stomach all day, and even little tasks make me feel overwhelmed."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Definitely. My mind keeps racing with ‘what ifs,’ and it’s hard to focus or even take a deep breath."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yeah, I’ve been super anxious—my hands are shaky, and I keep overthinking everything, like something bad’s about to happen."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,Yes,"""Yes, it’s been rough. I feel jittery and tense, like I’m waiting for bad news even when nothing’s wrong."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""Yeah, a little bit—I’ve been feeling kind of on edge lately."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""I guess so? It comes and goes, but today’s been worse."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""Sort of? I’m not sure if it’s nerves or just stress."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""I think so—my mind’s been racing, but I don’t know why."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,Yes,"""Maybe? I’ve had this weird tightness in my chest, like I can’t relax."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""Not at all."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, I’m fine."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""Nope."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, not really."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and minimalistic,No,"""No, I’m good."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""No, not at all. I’ve been feeling pretty calm and relaxed today, actually."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""Nope, no anxiety here. I’ve been in a good headspace lately, nothing’s really bothering me."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""No, I’m fine. I don’t usually get nervous unless something major is going on, and right now, I’m okay."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""Not really. I had a little stress earlier, but it passed, and now I feel completely normal."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,conclusive and descriptive,No,"""No, I’m good. I’ve been through situations like this before, so I’m not feeling anxious at all."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""Not really, no—I mean, nothing out of the ordinary."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""I wouldn’t say nervous, just a little on edge maybe, but it’s fine."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, not anxious. Just a bit distracted, I guess?"""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""Not nervous, no. Maybe a little tense, but nothing major."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,vague or partially conclusive,No,"""No, I don’t think so? At least not more than usual."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""Hmm, maybe a little? It’s hard to say—I just feel a bit off today."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""I’m not sure if it’s nervousness, but I’ve been feeling kind of uneasy lately."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""Sometimes, yeah, but other times I’m fine. It comes and goes."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""I don’t know if I’d call it anxious, but I’ve been a bit on edge."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,inconclusive,not answered,"""It depends—I’ve had moments where I feel tense, but I wouldn’t say it’s constant."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""Oh, I had the best pancakes for breakfast today!"""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""My cat learned how to open doors last week—it’s wild."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""I think it’s going to rain later, don’t you?"""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""I’ve been binge-watching this baking show lately."""
Feeling Generally Ill Flowchart,N3,Do you feel nervous or anxious?,irrelevant,off-topic,"""Traffic was surprisingly light on the way here."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,Yes,"""Yes, I have."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,Yes,"""Yeah, for a while now."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,Yes,"""Definitely."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,Yes,"""I have, yes."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,Yes,"""Absolutely."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,Yes,"""Yeah, for about two weeks now. No matter how much I sleep, I just wake up exhausted—it’s like my energy’s completely drained."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,Yes,"""Definitely. I’ve been dragging myself through the day, even after coffee. It’s worse in the afternoons—I can barely keep my eyes open."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,Yes,"""Yes, and it’s really unusual for me. I’m usually pretty active, but lately, even small tasks leave me wiped out."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,Yes,"""Oh, absolutely. I thought it was just stress at first, but it’s been over a month now, and the fatigue just won’t let up."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,Yes,"""Yes, and it’s getting worse. I’ve been needing naps almost daily, which isn’t normal for me at all."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,Yes,"""Yeah, kind of—lately I just don’t seem to have my usual energy."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,Yes,"""I guess so? It’s been off and on, but more often than not, I’m just worn out."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,Yes,"""Sort of. I wouldn’t say it’s constant, but I’ve definitely noticed it more these past few weeks."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,Yes,"""A little, yeah. Not sure if it’s just stress or something else, but I’ve been dragging."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,Yes,"""Mmm, more or less. Some days are worse than others, but overall, I’ve been feeling pretty drained."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,No,"""No, not really."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,No,"""Nope."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,No,"""No, I haven’t."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,No,"""Not at all."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and minimalistic,No,"""No, I feel fine."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,No,"""No, not really. I’ve actually been sleeping well lately and haven’t noticed any unusual fatigue."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,No,"""No, I’ve been feeling pretty normal energy-wise. No more tired than usual for my daily routine."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,No,"""No, I haven’t. I’ve been keeping up with my usual activities without feeling worn out."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,No,"""No, I’ve been fine. No fatigue or anything—just my regular energy levels."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,conclusive and descriptive,No,"""No, I haven’t felt tired. If anything, I’ve been more active than usual lately."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,No,"""Not really, no—maybe just a little more than usual, but nothing serious."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,No,"""I wouldn’t say tired, just a bit run down here and there."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,No,"""Not tired exactly, but I haven’t been sleeping great lately."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,No,"""No, not really… well, maybe a little, but it comes and goes."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,vague or partially conclusive,No,"""Not consistently, no—just the normal kind of tired, I guess."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,inconclusive,not answered,"""Hmm, I guess I’ve been a bit more worn out than usual, but I can’t really tell if it’s just stress or something else."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,inconclusive,not answered,"""Sometimes I feel okay, but other days I’m just dragging—hard to say if it’s been a long-term thing or not."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,inconclusive,not answered,"""I don’t know, maybe? I haven’t really paid much attention to it, to be honest."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,inconclusive,not answered,"""It comes and goes—some weeks are fine, others I feel exhausted. Not sure what’s causing it."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,inconclusive,not answered,"""I’ve noticed I’m not as energetic as before, but I wouldn’t say it’s constant. Could be anything, really."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,irrelevant,off-topic,"""Oh, I actually just adopted a puppy last week!"""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,irrelevant,off-topic,"""The weather’s been really nice lately, hasn’t it?"""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,irrelevant,off-topic,"""I think I left my umbrella at home today."""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,irrelevant,off-topic,"""Do you know if the cafeteria here serves good coffee?"""
Feeling Generally Ill Flowchart,N4,Have you been feeling tired for some time?,irrelevant,off-topic,"""My cousin is visiting from out of town this weekend."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and minimalistic,Yes,"""Yes, I have."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and minimalistic,Yes,"""Yeah, non-stop."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and minimalistic,Yes,"""Definitely."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and minimalistic,Yes,"""Absolutely."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and minimalistic,Yes,"""Without a doubt."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and descriptive,Yes,"""Oh, absolutely. I’ve been pulling 12-hour shifts at the hospital for the past month, and I barely have time to eat. My days off keep getting canceled too."""
Feeling Generally Ill Flowchart,N5,Have you been working hard without a break for several weeks?,conclusive and descriptive,Yes,"""Yeah, it’s been nonstop. Between my job and taking care of my kids, I haven’t had a real break in weeks. I’m running on coffee and willpower at this point."""
